CLUESmallArea,BlockId,Usage,SumFloors2002,BuildingCount2002,SumFloors2021,BuildingCount2021,MostFloors2002,MostFloors2021
Parkville,904,Educational/Research,0.0,0,6.0,1,0,6
Parkville,904,Unoccupied - Unused,0.0,0,0.0,0,0,0
Parkville,904,Hospital/Clinic,2.0,1,0.0,0,2,0
Parkville,904,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,904,Parking - Commercial Covered,0,0,0,0
Parkville,903,Residential Apartment,37.0,7,35.0,5,13,13
Parkville,903,House/Townhouse,0.0,0,8.0,3,0,3
Parkville,903,Educational/Research,0.0,0,3.0,1,0,3
Parkville,903,Office,0.0,0,0.0,0,0,0
Parkville,903,Equipment Installation,0.0,0,0.0,0,0,0
Parkville,903,Student Accommodation,0.0,0,3.0,1,0,3
Parkville,903,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,903,Unoccupied - Unused,0,0,0,0
Parkville,903,Parking - Commercial Covered,0,0,0,0
Parkville,929,Hospital/Clinic,6.0,1,6.0,1,6,6
Parkville,929,Institutional Accommodation,1.0,1,2.0,1,1,2
Parkville,929,House/Townhouse,0,0,0,0
Parkville,929,Office,0,0,0,0
Parkville,929,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,929,Unoccupied - Unused,0,0,0,0
Parkville,929,Parking - Commercial Covered,0,0,0,0
Parkville,926,House/Townhouse,11.0,11,12.0,11,1,2
Parkville,926,Residential Apartment,4.0,1,4.0,1,4,4
Parkville,926,Office,0,0,0,0
Parkville,926,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,926,Unoccupied - Unused,0,0,0,0
Parkville,926,Parking - Commercial Covered,0,0,0,0
Parkville,910,House/Townhouse,33.0,21,35.0,22,2,2
Parkville,910,Residential Apartment,11.0,4,11.0,4,4,4
Parkville,910,"Performances, Conferences, Ceremonies",1.0,1,1.0,1,1,1
Parkville,910,Commercial Accommodation,2.0,1,0.0,0,2,0
Parkville,910,Office,0,0,0,0
Parkville,910,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,910,Unoccupied - Unused,0,0,0,0
Parkville,910,Parking - Commercial Covered,0,0,0,0
Parkville,913,House/Townhouse,36.0,19,36.0,19,2,2
Parkville,913,Residential Apartment,0.0,0,2.0,1,0,2
Parkville,913,Retail - Shop,2.0,1,0.0,0,2,0
Parkville,913,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
Parkville,913,Office,0,0,0,0
